lhs,rhs,vars,gas saved,opt source,opt target,tpdb
DUP1 PUSH w_8 DUP1 PUSH w_9 DUP1 SWAP4 POP,PUSH w_9 PUSH w_8 PUSH w_8 PUSH w_9,w_8 w_9,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP1 SWAP4 POP PUSH 7821 PUSH 12108,PUSH 0 PUSH 0 PUSH 0 PUSH 0 PUSH 0 PUSH 7821 PUSH 12108,"DUP1(PUSH(w_8, DUP1(PUSH(w_9, DUP1(SWAP4(POP(P))))))) ->  PUSH(w_9, PUSH(w_8, PUSH(w_8, PUSH(w_9, P))))"
PUSH w_5 DUP1 PUSH w_6 DUP1 PUSH w_6 DUP1 PUSH w_5 SWAP5 POP PUSH w_6 SWAP4 POP,PUSH w_5 DUP1 PUSH w_6 DUP1 DUP1 DUP3,w_5 w_6,16,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP5 POP PUSH 0 SWAP4 POP,PUSH 0 DUP1 PUSH 0 DUP1 DUP1 DUP3,"PUSH(w_5, DUP1(PUSH(w_6, DUP1(PUSH(w_6, DUP1(PUSH(w_5, SWAP5(POP(PUSH(w_6, SWAP4(POP(P)))))))))))) ->  PUSH(w_5, DUP1(PUSH(w_6, DUP1(DUP1(DUP3(P))))))"
PUSH w_2 PUSH w_3 PUSH w_4 DUP5 SWAP3 POP PUSH w_5 SWAP2 POP PUSH w_5 SWAP1 POP,DUP2 PUSH w_5 DUP1,w_2 w_3 w_4 w_5,24,PUSH 0 PUSH 0 PUSH 0 DUP5 SWAP3 POP PUSH 0 SWAP2 POP PUSH 0 SWAP1 POP,DUP2 PUSH 0 DUP1,"PUSH(w_2, PUSH(w_3, PUSH(w_4, DUP5(SWAP3(POP(PUSH(w_5, SWAP2(POP(PUSH(w_5, SWAP1(POP(P)))))))))))) ->  DUP2(PUSH(w_5, DUP1(P)))"
PUSH 0 ISZERO ISZERO PUSH 0 DUP1 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 0 PUSH 0 PUSH 0 DUP4 DUP4,,24,PUSH 0 ISZERO ISZERO PUSH 0 DUP1 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 0 PUSH 0 PUSH 0 DUP4 DUP4,"PUSH(0, ISZERO(ISZERO(PUSH(0, DUP1(DUP4(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))))))) ->  PUSH(0, PUSH(0, PUSH(0, DUP4(DUP4(P)))))"
POP PUSH w_5 PUSH w_6 PUSH w_8 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,NOT POP PUSH w_5 PUSH w_6 PUSH w_8 DUP4 PUSH w_8,w_5 w_6 w_8,15,POP PUSH 1 PUSH 5 PUSH 0 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,NOT POP PUSH 1 PUSH 5 PUSH 0 DUP4 PUSH 0,"POP(PUSH(w_5, PUSH(w_6, PUSH(w_8, DUP4(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P)))))))))))) ->  NOT(POP(PUSH(w_5, PUSH(w_6, PUSH(w_8, DUP4(PUSH(w_8, P)))))))"
PUSH 1 PUSH 4 DUP2 LT ISZERO ISZERO,PUSH 1 PUSH 1,,12,PUSH 12757 PUSH 24 PUSH 1 PUSH 4 DUP2 LT ISZERO ISZERO PUSH 12701,PUSH 12757 PUSH 24 PUSH 1 PUSH 1 PUSH 12701,"PUSH(1, PUSH(4, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(1, PUSH(1, P))"
PUSH 0 PUSH 4 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 12682 PUSH 24 PUSH 0 PUSH 4 DUP2 LT ISZERO ISZERO PUSH 12626,PUSH 12682 PUSH 24 PUSH 0 PUSH 1 PUSH 12626,"PUSH(0, PUSH(4, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH w_0 DUP2 PUSH w_3 DUP2 SWAP1 SSTORE POP PUSH w_4 SWAP1 POP SWAP2 SWAP1 POP,PUSH w_3 PUSH w_4 SWAP3 SWAP2 SWAP1 SSTORE,w_0 w_3 w_4,18,PUSH 0 DUP2 PUSH 4 DUP2 SWAP1 SSTORE POP PUSH 1 SWAP1 POP SWAP2 SWAP1 POP,PUSH 4 PUSH 1 SWAP3 SWAP2 SWAP1 SSTORE,"PUSH(w_0, DUP2(PUSH(w_3, DUP2(SWAP1(SSTORE(POP(PUSH(w_4, SWAP1(POP(SWAP2(SWAP1(POP(P))))))))))))) ->  PUSH(w_3, PUSH(w_4, SWAP3(SWAP2(SWAP1(SSTORE(P))))))"
PUSH w_0 DUP1 PUSH w_2 SWAP1 POP DUP1 SLOAD SWAP2 POP POP,PUSH w_2 SLOAD,w_0 w_2,21,PUSH 0 DUP1 PUSH 3735928559 SWAP1 POP DUP1 SLOAD SWAP2 POP POP SWAP1,PUSH 3735928559 SLOAD SWAP1,"PUSH(w_0, DUP1(PUSH(w_2, SWAP1(POP(DUP1(SLOAD(SWAP2(POP(POP(P)))))))))) ->  PUSH(w_2, SLOAD(P))"
PUSH 0 DUP1 PUSH w_7 PUSH 0 DUP4 PUSH w_3 DUP2 GT ISZERO,PUSH 0 PUSH 0 PUSH w_7 PUSH 0 DUP1 PUSH 1,w_7 w_3,9,PUSH 0 DUP1 PUSH 20 PUSH 0 DUP4 PUSH 3 DUP2 GT ISZERO PUSH 13169,PUSH 0 PUSH 0 PUSH 20 PUSH 0 DUP1 PUSH 1 PUSH 13169,"PUSH(0, DUP1(PUSH(w_7, PUSH(0, DUP4(PUSH(w_3, DUP2(GT(ISZERO(P))))))))) ->  PUSH(0, PUSH(0, PUSH(w_7, PUSH(0, DUP1(PUSH(1, P))))))"
PUSH w_3 DUP1 PUSH w_4 DUP1 SWAP3 POP PUSH w_4 SWAP2 POP PUSH w_5 SWAP1 POP,PUSH w_4 DUP1 PUSH w_5,w_3 w_4 w_5,24,PUSH 0 DUP1 PUSH 0 DUP1 SWAP3 POP PUSH 0 SWAP2 POP PUSH 0 SWAP1 POP,PUSH 0 DUP1 PUSH 0,"PUSH(w_3, DUP1(PUSH(w_4, DUP1(SWAP3(POP(PUSH(w_4, SWAP2(POP(PUSH(w_5, SWAP1(POP(P)))))))))))) ->  PUSH(w_4, DUP1(PUSH(w_5, P)))"
PUSH w_6 DUP1 PUSH w_6 DUP1 PUSH 1 PUSH 2 DUP2 GT ISZERO,PUSH w_6 PUSH w_6 DUP2 DUP1 PUSH 1 PUSH 1,w_6,9,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 1 PUSH 2 DUP2 GT ISZERO PUSH 1564,PUSH 0 PUSH 0 DUP2 DUP1 PUSH 1 PUSH 1 PUSH 1564,"PUSH(w_6, DUP1(PUSH(w_6, DUP1(PUSH(1, PUSH(2, DUP2(GT(ISZERO(P))))))))) ->  PUSH(w_6, PUSH(w_6, DUP2(DUP1(PUSH(1, PUSH(1, P))))))"
DUP1 PUSH w_7 DUP1 PUSH w_6 SWAP3 POP,PUSH w_6 PUSH w_7 DUP1,w_7 w_6,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP3 POP PUSH 8421 PUSH 12108,PUSH 0 PUSH 0 PUSH 0 DUP1 PUSH 8421 PUSH 12108,"DUP1(PUSH(w_7, DUP1(PUSH(w_6, SWAP3(POP(P)))))) ->  PUSH(w_6, PUSH(w_7, DUP1(P)))"
PUSH w_3 DUP1 PUSH w_5 DUP1 PUSH w_4 DUP6 MLOAD SWAP5 POP PUSH w_4 SWAP4 POP,DUP1 MLOAD PUSH w_4 PUSH w_5 DUP1 DUP3,w_3 w_5 w_4,16,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP6 MLOAD SWAP5 POP PUSH 0 SWAP4 POP,DUP1 MLOAD PUSH 0 PUSH 0 DUP1 DUP3,"PUSH(w_3, DUP1(PUSH(w_5, DUP1(PUSH(w_4, DUP6(MLOAD(SWAP5(POP(PUSH(w_4, SWAP4(POP(P)))))))))))) ->  DUP1(MLOAD(PUSH(w_4, PUSH(w_5, DUP1(DUP3(P))))))"
PUSH 1 PUSH 2 SUB PUSH 2 DUP2 LT ISZERO ISZERO,PUSH 1 PUSH 1,,18,PUSH 0 PUSH 1 PUSH 2 SUB PUSH 2 DUP2 LT ISZERO ISZERO PUSH 3230,PUSH 0 PUSH 1 PUSH 1 PUSH 3230,"PUSH(1, PUSH(2, SUB(PUSH(2, DUP2(LT(ISZERO(ISZERO(P)))))))) ->  PUSH(1, PUSH(1, P))"
PUSH 0 DUP3 ADD PUSH w_7 PUSH w_6 SWAP2 SWAP1,PUSH w_6 DUP3 PUSH w_7,w_7 w_6,12,PUSH 0 PUSH 0 DUP3 ADD PUSH 0 PUSH 12546 SWAP2 SWAP1 PUSH 12633,PUSH 0 PUSH 12546 DUP3 PUSH 0 PUSH 12633,"PUSH(0, DUP3(ADD(PUSH(w_7, PUSH(w_6, SWAP2(SWAP1(P))))))) ->  PUSH(w_6, DUP3(PUSH(w_7, P)))"
PUSH w_2 CALLVALUE LT ISZERO ISZERO,CALLVALUE PUSH w_2 GT,w_2,6,PUSH 1000000000000000 CALLVALUE LT ISZERO ISZERO PUSH 1226,CALLVALUE PUSH 1000000000000000 GT PUSH 1226,"PUSH(w_2, CALLVALUE(LT(ISZERO(ISZERO(P))))) -> CALLVALUE(PUSH(w_2, GT(P)))"
PUSH 9 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 9 PUSH 1,,12,PUSH 100 PUSH 31 PUSH 9 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 5944,PUSH 100 PUSH 31 PUSH 9 PUSH 1 PUSH 5944,"PUSH(9, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(9, PUSH(1, P))"
PUSH w_4 DUP1 PUSH w_6 DUP1 PUSH w_7 PUSH w_5 SWAP5 POP PUSH w_6 SWAP4 POP,PUSH w_5 PUSH w_6 DUP1 DUP1 PUSH w_7,w_4 w_6 w_7 w_5,16,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 PUSH 70 SWAP5 POP PUSH 0 SWAP4 POP,PUSH 70 PUSH 0 DUP1 DUP1 PUSH 0,"PUSH(w_4, DUP1(PUSH(w_6, DUP1(PUSH(w_7, PUSH(w_5, SWAP5(POP(PUSH(w_6, SWAP4(POP(P))))))))))) ->  PUSH(w_5, PUSH(w_6, DUP1(DUP1(PUSH(w_7, P)))))"
PUSH 0 PUSH w_1 MUL DUP3 PUSH 0 NOT AND EQ ISZERO ISZERO,DUP2 ISZERO,w_1,26,PUSH 0 PUSH 1 MUL DUP3 PUSH 0 NOT AND EQ ISZERO ISZERO PUSH 1957,DUP2 ISZERO PUSH 1957,"PUSH(0, PUSH(w_1, MUL(DUP3(PUSH(0, NOT(AND(EQ(ISZERO(ISZERO(P)))))))))) ->  DUP2(ISZERO(P))"
PUSH w_6 DUP1 SUB PUSH 1 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,w_6,18,PUSH 4 PUSH 1 DUP1 SUB PUSH 1 DUP2 LT ISZERO ISZERO PUSH 3257,PUSH 4 PUSH 0 PUSH 1 PUSH 3257,"PUSH(w_6, DUP1(SUB(PUSH(1, DUP2(LT(ISZERO(ISZERO(P)))))))) ->  PUSH(0, PUSH(1, P))"
CALLER SWAP1 POP,POP CALLER,,3,CALLER SWAP1 POP,POP CALLER,CALLER(SWAP1(POP(P))) -> POP(CALLER(P))
PUSH w_5 DUP1 PUSH w_7 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH w_5 PUSH w_5 PUSH w_7 DUP4 PUSH w_7,w_5 w_7,18,PUSH 1 DUP1 PUSH 0 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 1 PUSH 1 PUSH 0 DUP4 PUSH 0,"PUSH(w_5, DUP1(PUSH(w_7, DUP4(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))))) ->  PUSH(w_5, PUSH(w_5, PUSH(w_7, DUP4(PUSH(w_7, P)))))"
CALLER DUP1,CALLER CALLER,,1,CALLER DUP1 DUP3,CALLER CALLER DUP3,CALLER(DUP1(P)) -> CALLER(CALLER(P))
PUSH 0 DUP1 DUP3 ADD PUSH w_6 PUSH w_5 SWAP2 SWAP1,PUSH 0 PUSH w_5 DUP3 SWAP3 PUSH w_6,w_6 w_5,9,PUSH 0 DUP1 DUP3 ADD PUSH 0 PUSH 10857 SWAP2 SWAP1 PUSH 10940,PUSH 0 PUSH 10857 DUP3 SWAP3 PUSH 0 PUSH 10940,"PUSH(0, DUP1(DUP3(ADD(PUSH(w_6, PUSH(w_5, SWAP2(SWAP1(P)))))))) ->  PUSH(0, PUSH(w_5, DUP3(SWAP3(PUSH(w_6, P)))))"
PUSH w_5 DUP1 PUSH w_5 DUP1 SWAP2 POP,PUSH w_5 DUP1 PUSH w_5,w_5,8,PUSH 0 DUP1 PUSH 0 DUP1 SWAP2 POP PUSH 8921 DUP5 PUSH 9250,PUSH 0 DUP1 PUSH 0 PUSH 8921 DUP5 PUSH 9250,"PUSH(w_5, DUP1(PUSH(w_5, DUP1(SWAP2(POP(P)))))) ->  PUSH(w_5, DUP1(PUSH(w_5, P)))"
PUSH 3 PUSH 4 DUP2 LT ISZERO ISZERO,PUSH 3 PUSH 1,,12,PUSH 0 PUSH 34 PUSH 3 PUSH 4 DUP2 LT ISZERO ISZERO PUSH 8088,PUSH 0 PUSH 34 PUSH 3 PUSH 1 PUSH 8088,"PUSH(3, PUSH(4, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(3, PUSH(1, P))"
PUSH w_4 PUSH w_4 PUSH w_5 NUMBER GT ISZERO ISZERO,PUSH w_4 DUP1 NUMBER PUSH w_5 LT,w_4 w_5,6,PUSH 0 PUSH 0 PUSH 3597381 NUMBER GT ISZERO ISZERO PUSH 2628,PUSH 0 DUP1 NUMBER PUSH 3597381 LT PUSH 2628,"PUSH(w_4, PUSH(w_4, PUSH(w_5, NUMBER(GT(ISZERO(ISZERO(P))))))) ->  PUSH(w_4, DUP1(NUMBER(PUSH(w_5, LT(P)))))"
CALLVALUE PUSH w_2 DUP2 EQ,CALLVALUE CALLVALUE PUSH w_2 EQ,w_2,1,CALLVALUE PUSH 1000000000000000000 DUP2 EQ PUSH 649,CALLVALUE CALLVALUE PUSH 1000000000000000000 EQ PUSH 649,"CALLVALUE(PUSH(w_2, DUP2(EQ(P)))) -> CALLVALUE(CALLVALUE(PUSH(w_2, EQ(P))))"
PUSH w_6 DUP5 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH w_6 DUP5 PUSH w_6,w_6,18,CALLVALUE PUSH 1 PUSH 0 DUP5 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,CALLVALUE PUSH 1 PUSH 0 DUP5 PUSH 0,"PUSH(w_6, DUP5(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))) ->  PUSH(w_6, DUP5(PUSH(w_6, P)))"
PUSH w_3 PUSH w_2 SWAP1,PUSH w_2 PUSH w_3,w_3 w_2,3,PUSH 1 PUSH 32 SWAP1 DUP2,PUSH 32 PUSH 1 DUP2,"PUSH(w_3, PUSH(w_2, SWAP1(P))) -> PUSH(w_2, PUSH(w_3, P))"
PUSH w_3 PUSH w_4 SWAP1 DUP2,PUSH w_4 PUSH w_3 PUSH w_4,w_3 w_4,3,PUSH 1 PUSH 0 SWAP1 DUP2,PUSH 0 PUSH 1 PUSH 0,"PUSH(w_3, PUSH(w_4, SWAP1(DUP2(P)))) -> PUSH(w_4, PUSH(w_3, PUSH(w_4, P)))"
DUP1 SLOAD SWAP1 POP,SLOAD,,8,PUSH 0 DUP1 SLOAD SWAP1 POP,PUSH 0 SLOAD,DUP1(SLOAD(SWAP1(POP(P)))) -> SLOAD(P)
DUP1 DUP3 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,DUP1 DUP3 DUP3,,18,PUSH 64 MLOAD DUP1 DUP3 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 64 MLOAD DUP1 DUP3 DUP3,"DUP1(DUP3(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))) ->  DUP1(DUP3(DUP3(P)))"
PUSH w_6 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH w_6 DUP4 PUSH w_6,w_6,18,PUSH 6 PUSH 0 DUP4 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 6 PUSH 0 DUP4 PUSH 0,"PUSH(w_6, DUP4(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))) ->  PUSH(w_6, DUP4(PUSH(w_6, P)))"
PUSH w_6 DUP3 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH w_6 DUP3 PUSH w_6,w_6,18,PUSH 5 PUSH 0 DUP3 PUSH 0 NOT AND PUSH 0 NOT AND DUP2,PUSH 5 PUSH 0 DUP3 PUSH 0,"PUSH(w_6, DUP3(PUSH(0, NOT(AND(PUSH(0, NOT(AND(DUP2(P))))))))) ->  PUSH(w_6, DUP3(PUSH(w_6, P)))"
PUSH w_5 DUP1 PUSH w_7 PUSH w_6 MLOAD SWAP1,PUSH w_5 PUSH w_5 PUSH w_6 MLOAD PUSH w_7,w_5 w_7 w_6,3,PUSH 0 DUP1 PUSH 352 PUSH 64 MLOAD SWAP1 DUP2 ADD PUSH 64,PUSH 0 PUSH 0 PUSH 64 MLOAD PUSH 352 DUP2 ADD PUSH 64,"PUSH(w_5, DUP1(PUSH(w_7, PUSH(w_6, MLOAD(SWAP1(P)))))) ->  PUSH(w_5, PUSH(w_5, PUSH(w_6, MLOAD(PUSH(w_7, P)))))"
PUSH 0 DUP1 PUSH w_6 DUP4 GT PUSH 1 DUP2 EQ,PUSH 1 ISZERO PUSH 0 PUSH w_6 DUP4 GT DUP1,w_6,3,PUSH 0 DUP1 PUSH 127 DUP4 GT PUSH 1 DUP2 EQ PUSH 2483,PUSH 1 ISZERO PUSH 0 PUSH 127 DUP4 GT DUP1 PUSH 2483,"PUSH(0, DUP1(PUSH(w_6, DUP4(GT(PUSH(1, DUP2(EQ(P)))))))) ->  PUSH(1, ISZERO(PUSH(0, PUSH(w_6, DUP4(GT(DUP1(P)))))))"
PUSH w_3 DUP1 PUSH w_3 DUP1 DUP5 MLOAD SWAP3 POP PUSH w_4 SWAP1 POP,PUSH w_3 DUP2 MLOAD DUP2 PUSH w_4,w_3 w_4,16,PUSH 0 DUP1 PUSH 0 DUP1 DUP5 MLOAD SWAP3 POP PUSH 0 SWAP1 POP,PUSH 0 DUP2 MLOAD DUP2 PUSH 0,"PUSH(w_3, DUP1(PUSH(w_3, DUP1(DUP5(MLOAD(SWAP3(POP(PUSH(w_4, SWAP1(POP(P))))))))))) ->  PUSH(w_3, DUP2(MLOAD(DUP2(PUSH(w_4, P)))))"
DUP1 PUSH w_6 DUP1 PUSH w_5 SWAP3 POP PUSH w_6 SWAP2 POP,PUSH w_5 PUSH w_6 DUP1,w_6 w_5,16,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 1 SWAP3 POP PUSH 0 SWAP2 POP,PUSH 0 PUSH 1 PUSH 0 DUP1,"DUP1(PUSH(w_6, DUP1(PUSH(w_5, SWAP3(POP(PUSH(w_6, SWAP2(POP(P))))))))) ->  PUSH(w_5, PUSH(w_6, DUP1(P)))"
PUSH w_4 DUP1 PUSH w_7 DUP1 PUSH w_5 SWAP4 POP PUSH w_6 SWAP3 POP,PUSH w_5 PUSH w_6 PUSH w_7 PUSH w_7,w_4 w_7 w_5 w_6,16,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP4 POP PUSH 0 SWAP3 POP,PUSH 0 PUSH 0 PUSH 0 PUSH 0,"PUSH(w_4, DUP1(PUSH(w_7, DUP1(PUSH(w_5, SWAP4(POP(PUSH(w_6, SWAP3(POP(P)))))))))) ->  PUSH(w_5, PUSH(w_6, PUSH(w_7, PUSH(w_7, P))))"
PUSH w_5 DUP1 PUSH w_6 PUSH w_7 DUP1 DUP2 GT ISZERO,PUSH w_5 PUSH w_5 PUSH w_6 PUSH w_7 PUSH 1,w_5 w_6 w_7,9,PUSH 0 DUP1 PUSH 0 PUSH 6 DUP1 DUP2 GT ISZERO PUSH 2828,PUSH 0 PUSH 0 PUSH 0 PUSH 6 PUSH 1 PUSH 2828,"PUSH(w_5, DUP1(PUSH(w_6, PUSH(w_7, DUP1(DUP2(GT(ISZERO(P)))))))) ->  PUSH(w_5, PUSH(w_5, PUSH(w_6, PUSH(w_7, PUSH(1, P)))))"
PUSH 0 DUP3 LT ISZERO,PUSH 1,,9,POP PUSH 0 DUP3 LT ISZERO,POP PUSH 1,"PUSH(0, DUP3(LT(ISZERO(P)))) -> PUSH(1, P)"
PUSH w_8 PUSH w_7 MLOAD SWAP1,PUSH w_7 MLOAD PUSH w_8,w_8 w_7,3,PUSH 0 PUSH 0 PUSH 32 PUSH 64 MLOAD SWAP1 DUP2 ADD PUSH 64,PUSH 0 PUSH 0 PUSH 64 MLOAD PUSH 32 DUP2 ADD PUSH 64,"PUSH(w_8, PUSH(w_7, MLOAD(SWAP1(P)))) -> PUSH(w_7, MLOAD(PUSH(w_8, P)))"
PUSH w_4 POP PUSH w_8 PUSH w_7 PUSH w_5 POP SLOAD DUP2,PUSH w_8 PUSH w_7 SLOAD PUSH w_8,w_4 w_8 w_7 w_5,10,PUSH 0 PUSH 0 POP PUSH 0 PUSH 3 PUSH 0 POP SLOAD DUP2,PUSH 0 PUSH 0 PUSH 3 SLOAD PUSH 0,"PUSH(w_4, POP(PUSH(w_8, PUSH(w_7, PUSH(w_5, POP(SLOAD(DUP2(P)))))))) ->  PUSH(w_8, PUSH(w_7, SLOAD(PUSH(w_8, P))))"
PUSH w_2 POP DUP2 SWAP1 SSTORE POP PUSH w_4 SWAP1 POP,SSTORE POP PUSH w_4,w_2 w_4,16,TIMESTAMP PUSH 0 PUSH 0 POP DUP2 SWAP1 SSTORE POP PUSH 0 SWAP1 POP,TIMESTAMP PUSH 0 SSTORE POP PUSH 0,"PUSH(w_2, POP(DUP2(SWAP1(SSTORE(POP(PUSH(w_4, SWAP1(POP(P))))))))) ->  SSTORE(POP(PUSH(w_4, P)))"
ADDRESS PUSH w_2 DUP2 DUP2,ADDRESS PUSH w_2 ADDRESS PUSH w_2,w_2,1,POP ADDRESS PUSH 0 DUP2 DUP2,POP ADDRESS PUSH 0 ADDRESS PUSH 0,"ADDRESS(PUSH(w_2, DUP2(DUP2(P)))) ->  ADDRESS(PUSH(w_2, ADDRESS(PUSH(w_2, P))))"
PUSH 0 PUSH w_1 PUSH w_2 PUSH w_3 EXP SUB AND,PUSH 0,w_1 w_2 w_3,25,DUP1 PUSH 0 PUSH 1 PUSH 160 PUSH 2 EXP SUB AND DUP2,DUP1 PUSH 0 DUP2,"PUSH(0, PUSH(w_1, PUSH(w_2, PUSH(w_3, EXP(SUB(AND(P))))))) -> PUSH(0, P)"
EQ ISZERO ISZERO,EQ,,6,EQ ISZERO ISZERO PUSH 10506,EQ PUSH 10506,EQ(ISZERO(ISZERO(P))) -> EQ(P)
PUSH 2 PUSH 13 DUP2 LT ISZERO ISZERO,PUSH 2 PUSH 1,,12,PUSH 43 PUSH 2 PUSH 13 DUP2 LT ISZERO ISZERO PUSH 19821,PUSH 43 PUSH 2 PUSH 1 PUSH 19821,"PUSH(2, PUSH(13, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(2, PUSH(1, P))"
PUSH 1 PUSH 13 DUP2 LT ISZERO ISZERO,PUSH 1 PUSH 1,,12,PUSH 43 PUSH 1 PUSH 13 DUP2 LT ISZERO ISZERO PUSH 19870,PUSH 43 PUSH 1 PUSH 1 PUSH 19870,"PUSH(1, PUSH(13, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(1, PUSH(1, P))"
PUSH 0 PUSH 5 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 38 PUSH 0 PUSH 5 DUP2 LT ISZERO ISZERO PUSH 6836,PUSH 38 PUSH 0 PUSH 1 PUSH 6836,"PUSH(0, PUSH(5, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH 10 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 10 PUSH 1,,12,PUSH 31 PUSH 10 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 11280,PUSH 31 PUSH 10 PUSH 1 PUSH 11280,"PUSH(10, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(10, PUSH(1, P))"
PUSH 8 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 8 PUSH 1,,12,PUSH 31 PUSH 8 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 20897,PUSH 31 PUSH 8 PUSH 1 PUSH 20897,"PUSH(8, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(8, PUSH(1, P))"
