lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH 3 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 3 PUSH 1,,12,PUSH 31 PUSH 3 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 18059,PUSH 31 PUSH 3 PUSH 1 PUSH 18059,"PUSH(3, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(3, PUSH(1, P))"
SWAP2 SWAP1 SWAP2 AND SWAP1,DUP3 AND SWAP2 POP,,4,SWAP2 SWAP1 SWAP2 AND SWAP1,DUP3 AND SWAP2 POP,SWAP2(SWAP1(SWAP2(AND(SWAP1(P))))) -> DUP3(AND(SWAP2(POP(P))))
SWAP2 SWAP1 SWAP2 AND,SWAP1 SWAP2 AND,,3,SWAP2 SWAP1 SWAP2 AND DUP3,SWAP1 SWAP2 AND DUP3,SWAP2(SWAP1(SWAP2(AND(P)))) -> SWAP1(SWAP2(AND(P)))
PUSH 0 PUSH 7 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 14 PUSH 0 PUSH 7 DUP2 LT ISZERO ISZERO PUSH 5780,PUSH 14 PUSH 0 PUSH 1 PUSH 5780,"PUSH(0, PUSH(7, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
SWAP1 SWAP3 POP SWAP1 POP,SWAP2 POP SWAP2 POP,,3,SWAP1 SWAP3 POP SWAP1 POP,SWAP2 POP SWAP2 POP,SWAP1(SWAP3(POP(SWAP1(POP(P))))) -> SWAP2(POP(SWAP2(POP(P))))
SWAP1 DUP3 ADD DUP2 SWAP1,DUP1 SWAP2 DUP4 ADD,,3,SWAP1 DUP3 ADD DUP2 SWAP1,DUP1 SWAP2 DUP4 ADD,SWAP1(DUP3(ADD(DUP2(SWAP1(P))))) -> DUP1(SWAP2(DUP4(ADD(P))))
PUSH 0 PUSH 11 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 5 PUSH 0 PUSH 11 DUP2 LT ISZERO ISZERO PUSH 6006,PUSH 5 PUSH 0 PUSH 1 PUSH 6006,"PUSH(0, PUSH(11, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
SWAP1 POP DUP1 SWAP3 POP,SWAP3 POP POP DUP2,,3,SWAP1 POP DUP1 SWAP3 POP,SWAP3 POP POP DUP2,SWAP1(POP(DUP1(SWAP3(POP(P))))) -> SWAP3(POP(POP(DUP2(P))))
SWAP1 POP DUP1 SWAP2 POP,SWAP2 POP POP DUP1,,3,SWAP1 POP DUP1 SWAP2 POP,SWAP2 POP POP DUP1,SWAP1(POP(DUP1(SWAP2(POP(P))))) -> SWAP2(POP(POP(DUP1(P))))
PUSH 0 PUSH 14 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 3 PUSH 0 PUSH 14 DUP2 LT ISZERO ISZERO PUSH 9735,PUSH 3 PUSH 0 PUSH 1 PUSH 9735,"PUSH(0, PUSH(14, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH 0 PUSH 1 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 2 PUSH 0 PUSH 1 DUP2 LT ISZERO ISZERO PUSH 1602,PUSH 2 PUSH 0 PUSH 1 PUSH 1602,"PUSH(0, PUSH(1, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH 0 DUP4 PUSH w_1 AND LT ISZERO DUP1 ISZERO,PUSH 1 PUSH 0,w_1,18,PUSH 0 DUP4 PUSH 255 AND LT ISZERO DUP1 ISZERO PUSH 7034,PUSH 1 PUSH 0 PUSH 7034,"PUSH(0, DUP4(PUSH(w_1, AND(LT(ISZERO(DUP1(ISZERO(P)))))))) ->  PUSH(1, PUSH(0, P))"
PUSH w_0 DUP3 SWAP1 POP,DUP2,w_0,8,PUSH 0 DUP3 SWAP1 POP PUSH 3766 DUP4 DUP4 PUSH 2763,DUP2 PUSH 3766 DUP4 DUP4 PUSH 2763,"PUSH(w_0, DUP3(SWAP1(POP(P)))) -> DUP2(P)"
PUSH 0 DUP2 PUSH w_1 AND LT ISZERO DUP1 ISZERO,PUSH 1 PUSH 0,w_1,18,PUSH 0 DUP2 PUSH 255 AND LT ISZERO DUP1 ISZERO PUSH 4097,PUSH 1 PUSH 0 PUSH 4097,"PUSH(0, DUP2(PUSH(w_1, AND(LT(ISZERO(DUP1(ISZERO(P)))))))) ->  PUSH(1, PUSH(0, P))"
PUSH w_4 SLOAD TIMESTAMP LT ISZERO ISZERO,TIMESTAMP PUSH w_4 SLOAD GT,w_4,6,PUSH 0 DUP1 PUSH 8 SLOAD TIMESTAMP LT ISZERO ISZERO PUSH 347,PUSH 0 DUP1 TIMESTAMP PUSH 8 SLOAD GT PUSH 347,"PUSH(w_4, SLOAD(TIMESTAMP(LT(ISZERO(ISZERO(P)))))) ->  TIMESTAMP(PUSH(w_4, SLOAD(GT(P))))"
PUSH w_3 DUP1 PUSH w_2 DUP4 MLOAD SWAP2 POP PUSH w_3 SWAP1 POP,PUSH w_3 DUP2 MLOAD DUP2,w_3 w_2,16,PUSH 0 DUP1 PUSH 0 DUP4 MLOAD SWAP2 POP PUSH 0 SWAP1 POP,PUSH 0 DUP2 MLOAD DUP2,"PUSH(w_3, DUP1(PUSH(w_2, DUP4(MLOAD(SWAP2(POP(PUSH(w_3, SWAP1(POP(P)))))))))) ->  PUSH(w_3, DUP2(MLOAD(DUP2(P))))"
PUSH w_5 DUP1 PUSH w_6 DUP1 PUSH w_5 DUP1 PUSH w_5 SWAP4 POP,PUSH w_5 PUSH w_5 DUP2 PUSH w_6 DUP4 DUP1,w_5 w_6,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP4 POP,PUSH 0 PUSH 0 DUP2 PUSH 0 DUP4 DUP1,"PUSH(w_5, DUP1(PUSH(w_6, DUP1(PUSH(w_5, DUP1(PUSH(w_5, SWAP4(POP(P))))))))) ->  PUSH(w_5, PUSH(w_5, DUP2(PUSH(w_6, DUP4(DUP1(P))))))"
PUSH w_6 DUP1 PUSH w_6 DUP1 PUSH w_6 DUP1 PUSH w_5 SWAP3 POP,PUSH w_6 DUP1 DUP1 PUSH w_5 PUSH w_6 DUP5,w_6 w_5,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP3 POP,PUSH 0 DUP1 DUP1 PUSH 0 PUSH 0 DUP5,"PUSH(w_6, DUP1(PUSH(w_6, DUP1(PUSH(w_6, DUP1(PUSH(w_5, SWAP3(POP(P))))))))) ->  PUSH(w_6, DUP1(DUP1(PUSH(w_5, PUSH(w_6, DUP5(P))))))"
DUP1 PUSH w_1 PUSH w_5 SWAP2 POP PUSH w_6 SWAP1 POP,PUSH w_5 PUSH w_6,w_1 w_5 w_6,16,PUSH 0 DUP1 PUSH 0 PUSH 1 SWAP2 POP PUSH 100 SWAP1 POP,PUSH 0 PUSH 1 PUSH 100,"DUP1(PUSH(w_1, PUSH(w_5, SWAP2(POP(PUSH(w_6, SWAP1(POP(P)))))))) ->  PUSH(w_5, PUSH(w_6, P))"
PUSH 0 DUP1 PUSH 0 ADD PUSH w_3 ADD SLOAD SWAP1 POP,PUSH w_3 SLOAD,w_3,20,PUSH 0 DUP1 PUSH 0 ADD PUSH 1 ADD SLOAD SWAP1 POP SWAP1,PUSH 1 SLOAD SWAP1,"PUSH(0, DUP1(PUSH(0, ADD(PUSH(w_3, ADD(SLOAD(SWAP1(POP(P))))))))) ->  PUSH(w_3, SLOAD(P))"
DUP1 CALLER SWAP1 POP PUSH w_4 DUP2,CALLER PUSH w_4 CALLER,w_4,9,PUSH 0 DUP1 CALLER SWAP1 POP PUSH 4688 DUP2 PUSH 3995,PUSH 0 CALLER PUSH 4688 CALLER PUSH 3995,"DUP1(CALLER(SWAP1(POP(PUSH(w_4, DUP2(P)))))) -> CALLER(PUSH(w_4, CALLER(P)))"
PUSH 0 PUSH w_1 DUP4 AND LT,PUSH 0,w_1,12,PUSH 0 PUSH 4294967295 DUP4 AND LT PUSH 12490,PUSH 0 PUSH 12490,"PUSH(0, PUSH(w_1, DUP4(AND(LT(P))))) -> PUSH(0, P)"
PUSH w_6 DUP2 PUSH w_5 SWAP2 SWAP1,PUSH w_5 PUSH w_6 DUP3,w_6 w_5,6,PUSH 0 PUSH 12 DUP2 PUSH 2508 SWAP2 SWAP1 PUSH 3804,PUSH 0 PUSH 2508 PUSH 12 DUP3 PUSH 3804,"PUSH(w_6, DUP2(PUSH(w_5, SWAP2(SWAP1(P))))) -> PUSH(w_5, PUSH(w_6, DUP3(P)))"
PUSH w_1 CALLVALUE SWAP1 POP DUP1 PUSH 0 EQ,CALLVALUE DUP1 ISZERO,w_1,11,PUSH 0 CALLVALUE SWAP1 POP DUP1 PUSH 0 EQ DUP1 ISZERO PUSH 182,CALLVALUE DUP1 ISZERO DUP1 ISZERO PUSH 182,"PUSH(w_1, CALLVALUE(SWAP1(POP(DUP1(PUSH(0, EQ(P))))))) ->  CALLVALUE(DUP1(ISZERO(P)))"
PUSH w_2 TIMESTAMP LT ISZERO ISZERO,TIMESTAMP PUSH w_2 GT,w_2,6,PUSH 1507032000 TIMESTAMP LT ISZERO ISZERO PUSH 1927,TIMESTAMP PUSH 1507032000 GT PUSH 1927,"PUSH(w_2, TIMESTAMP(LT(ISZERO(ISZERO(P))))) -> TIMESTAMP(PUSH(w_2, GT(P)))"
DUP2 DUP4 ADD DUP5 SWAP1,DUP4 DUP4 DUP4 ADD,,3,DUP2 DUP4 ADD DUP5 SWAP1,DUP4 DUP4 DUP4 ADD,DUP2(DUP4(ADD(DUP5(SWAP1(P))))) -> DUP4(DUP4(DUP4(ADD(P))))
DUP1 SWAP3 SWAP2 POP POP,SWAP1 POP SWAP1,,5,DUP1 SWAP3 SWAP2 POP POP,SWAP1 POP SWAP1,DUP1(SWAP3(SWAP2(POP(POP(P))))) -> SWAP1(POP(SWAP1(P)))
PUSH w_2 SWAP1 SWAP2 SWAP1,SWAP1 PUSH w_2,w_2,6,PUSH 6213 SWAP1 SWAP2 SWAP1 PUSH 4294967295 AND,SWAP1 PUSH 6213 PUSH 4294967295 AND,"PUSH(w_2, SWAP1(SWAP2(SWAP1(P)))) -> SWAP1(PUSH(w_2, P))"
DUP1 DUP5 ADD SWAP4 POP,SWAP3 DUP4 ADD SWAP3,,2,DUP1 DUP5 ADD SWAP4 POP,SWAP3 DUP4 ADD SWAP3,DUP1(DUP5(ADD(SWAP4(POP(P))))) -> SWAP3(DUP4(ADD(SWAP3(P))))
DUP1 DUP5 ADD DUP4 SWAP1,DUP3 DUP5 DUP3 ADD,,3,DUP1 DUP5 ADD DUP4 SWAP1,DUP3 DUP5 DUP3 ADD,DUP1(DUP5(ADD(DUP4(SWAP1(P))))) -> DUP3(DUP5(DUP3(ADD(P))))
PUSH w_7 PUSH w_8 DUP2 SWAP1,PUSH w_7 PUSH w_7 PUSH w_8,w_7 w_8,3,PUSH 1581 PUSH 4 CALLDATALOAD PUSH 0 PUSH 32 DUP2 SWAP1,PUSH 1581 PUSH 4 CALLDATALOAD PUSH 0 PUSH 0 PUSH 32,"PUSH(w_7, PUSH(w_8, DUP2(SWAP1(P)))) -> PUSH(w_7, PUSH(w_7, PUSH(w_8, P)))"
PUSH w_5 DUP1 MLOAD DUP1 DUP3 ADD SWAP1 SWAP2,PUSH w_5 MLOAD DUP1 PUSH w_5 ADD PUSH w_5,w_5,6,PUSH 585 PUSH 64 DUP1 MLOAD DUP1 DUP3 ADD SWAP1 SWAP2,PUSH 585 PUSH 64 MLOAD DUP1 PUSH 64 ADD PUSH 64,"PUSH(w_5, DUP1(MLOAD(DUP1(DUP3(ADD(SWAP1(SWAP2(P)))))))) ->  PUSH(w_5, MLOAD(DUP1(PUSH(w_5, ADD(PUSH(w_5, P))))))"
PUSH w_5 PUSH w_4 MLOAD SWAP1 DUP2 ADD PUSH w_6 SWAP1 DUP2,PUSH w_4 MLOAD PUSH w_6 PUSH w_5 DUP3 ADD PUSH w_6,w_5 w_4 w_6,6,PUSH 96 PUSH 64 MLOAD SWAP1 DUP2 ADD PUSH 64 SWAP1 DUP2,PUSH 64 MLOAD PUSH 64 PUSH 96 DUP3 ADD PUSH 64,"PUSH(w_5, PUSH(w_4, MLOAD(SWAP1(DUP2(ADD(PUSH(w_6, SWAP1(DUP2(P))))))))) ->  PUSH(w_4, MLOAD(PUSH(w_6, PUSH(w_5, DUP3(ADD(PUSH(w_6, P)))))))"
DUP1 DUP4 ADD DUP3 SWAP1,DUP2 DUP4 DUP3 ADD,,3,DUP1 DUP4 ADD DUP3 SWAP1,DUP2 DUP4 DUP3 ADD,DUP1(DUP4(ADD(DUP3(SWAP1(P))))) -> DUP2(DUP4(DUP3(ADD(P))))
DUP1 MLOAD SWAP3 POP POP,MLOAD SWAP2 POP,,5,DUP1 MLOAD SWAP3 POP POP,MLOAD SWAP2 POP,DUP1(MLOAD(SWAP3(POP(POP(P))))) -> MLOAD(SWAP2(POP(P)))
PUSH w_2 DUP2 SWAP1 SSTORE PUSH w_2 DUP2 SWAP1 SSTORE POP,PUSH w_2 SSTORE,w_2,20017,PUSH 1 DUP2 SWAP1 SSTORE PUSH 1 DUP2 SWAP1 SSTORE POP POP,PUSH 1 SSTORE POP,"PUSH(w_2, DUP2(SWAP1(SSTORE(PUSH(w_2, DUP2(SWAP1(SSTORE(POP(P))))))))) ->  PUSH(w_2, SSTORE(P))"
PUSH w_5 PUSH w_6 PUSH w_4 SWAP2 SWAP1,PUSH w_4 PUSH w_5 PUSH w_6,w_5 w_6 w_4,6,PUSH 1 PUSH 0 PUSH 5531 SWAP2 SWAP1 PUSH 7311,PUSH 5531 PUSH 1 PUSH 0 PUSH 7311,"PUSH(w_5, PUSH(w_6, PUSH(w_4, SWAP2(SWAP1(P))))) ->  PUSH(w_4, PUSH(w_5, PUSH(w_6, P)))"
PUSH w_5 DUP2 DUP2 PUSH w_4 SWAP2 SWAP1,PUSH w_5 PUSH w_4 DUP3 PUSH w_5,w_5 w_4,6,PUSH 0 DUP2 DUP2 PUSH 18056 SWAP2 SWAP1 PUSH 18166,PUSH 0 PUSH 18056 DUP3 PUSH 0 PUSH 18166,"PUSH(w_5, DUP2(DUP2(PUSH(w_4, SWAP2(SWAP1(P)))))) ->  PUSH(w_5, PUSH(w_4, DUP3(PUSH(w_5, P))))"
PUSH 0 DUP2 PUSH w_1 AND LT ISZERO ISZERO,PUSH 0,w_1,18,PUSH 0 DUP2 PUSH 255 AND LT ISZERO ISZERO PUSH 7996,PUSH 0 PUSH 7996,"PUSH(0, DUP2(PUSH(w_1, AND(LT(ISZERO(ISZERO(P))))))) -> PUSH(0, P)"
DUP2 PUSH w_3 DUP2 SWAP1 SSTORE POP SWAP2 SWAP1 POP,PUSH w_3 SWAP3 SWAP2 SWAP1 SWAP3 SSTORE,w_3,7,PUSH 0 DUP2 PUSH 9 DUP2 SWAP1 SSTORE POP SWAP2 SWAP1 POP,PUSH 0 PUSH 9 SWAP3 SWAP2 SWAP1 SWAP3 SSTORE,"DUP2(PUSH(w_3, DUP2(SWAP1(SSTORE(POP(SWAP2(SWAP1(POP(P))))))))) ->  PUSH(w_3, SWAP3(SWAP2(SWAP1(SWAP3(SSTORE(P))))))"
DUP2 PUSH w_4 DUP2 LT ISZERO ISZERO,DUP2 PUSH w_4 DUP4 LT,w_4,6,PUSH 0 DUP2 PUSH 2 DUP2 LT ISZERO ISZERO PUSH 3189,PUSH 0 DUP2 PUSH 2 DUP4 LT PUSH 3189,"DUP2(PUSH(w_4, DUP2(LT(ISZERO(ISZERO(P)))))) -> DUP2(PUSH(w_4, DUP4(LT(P))))"
DUP1 PUSH w_4 DUP1 SWAP2 POP PUSH w_5 SWAP1 POP,PUSH w_4 PUSH w_5,w_4 w_5,16,PUSH 0 DUP1 PUSH 0 DUP1 SWAP2 POP PUSH 0 SWAP1 POP,PUSH 0 PUSH 0 PUSH 0,"DUP1(PUSH(w_4, DUP1(SWAP2(POP(PUSH(w_5, SWAP1(POP(P)))))))) ->  PUSH(w_4, PUSH(w_5, P))"
PUSH w_4 PUSH w_5 PUSH w_3 POP PUSH w_4 DUP6 DUP2,PUSH w_4 PUSH w_5 DUP2 DUP6 DUP4,w_4 w_5 w_3,5,PUSH 0 PUSH 265 PUSH 0 POP PUSH 0 DUP6 DUP2,PUSH 0 PUSH 265 DUP2 DUP6 DUP4,"PUSH(w_4, PUSH(w_5, PUSH(w_3, POP(PUSH(w_4, DUP6(DUP2(P))))))) ->  PUSH(w_4, PUSH(w_5, DUP2(DUP6(DUP4(P)))))"
PUSH w_1 SWAP1 SWAP2 ADD,SWAP1 PUSH w_1 ADD,w_1,3,PUSH 128 SWAP1 SWAP2 ADD,SWAP1 PUSH 128 ADD,"PUSH(w_1, SWAP1(SWAP2(ADD(P)))) -> SWAP1(PUSH(w_1, ADD(P)))"
PUSH w_9 PUSH 2 PUSH 255 AND DUP2,PUSH w_9 PUSH 2 PUSH w_9,w_9,6,PUSH 0 PUSH 5 PUSH 0 PUSH 2 PUSH 255 AND DUP2,PUSH 0 PUSH 5 PUSH 0 PUSH 2 PUSH 0,"PUSH(w_9, PUSH(2, PUSH(255, AND(DUP2(P))))) ->  PUSH(w_9, PUSH(2, PUSH(w_9, P)))"
PUSH 0 PUSH w_2 SLOAD SUB PUSH w_2 DUP2 SWAP1 SSTORE POP,,w_2,20220,PUSH 0 PUSH 4 SLOAD SUB PUSH 4 DUP2 SWAP1 SSTORE POP,,"PUSH(0, PUSH(w_2, SLOAD(SUB(PUSH(w_2, DUP2(SWAP1(SSTORE(POP(P))))))))) -> P"
PUSH 1 PUSH 4 DUP2 GT ISZERO,PUSH 1 PUSH 1,,9,PUSH 0 PUSH 1 PUSH 4 DUP2 GT ISZERO PUSH 2914,PUSH 0 PUSH 1 PUSH 1 PUSH 2914,"PUSH(1, PUSH(4, DUP2(GT(ISZERO(P))))) -> PUSH(1, PUSH(1, P))"
PUSH w_4 PUSH 1 ISZERO ISZERO PUSH w_6 PUSH w_4,PUSH w_4 PUSH 1 PUSH w_6 DUP3,w_4 w_6,6,PUSH 0 PUSH 1 ISZERO ISZERO PUSH 8 PUSH 0 DUP5 DUP2,PUSH 0 PUSH 1 PUSH 8 DUP3 DUP5 DUP2,"PUSH(w_4, PUSH(1, ISZERO(ISZERO(PUSH(w_6, PUSH(w_4, P)))))) ->  PUSH(w_4, PUSH(1, PUSH(w_6, DUP3(P))))"
PUSH w_5 PUSH w_5 PUSH w_6 PUSH w_6 DUP2 GT PUSH 0,PUSH w_5 DUP1 PUSH w_6 PUSH 0 DUP1,w_5 w_6,6,PUSH 0 PUSH 0 PUSH 3 PUSH 3 DUP2 GT PUSH 0,PUSH 0 DUP1 PUSH 3 PUSH 0 DUP1,"PUSH(w_5, PUSH(w_5, PUSH(w_6, PUSH(w_6, DUP2(GT(PUSH(0, P))))))) ->  PUSH(w_5, DUP1(PUSH(w_6, PUSH(0, DUP1(P)))))"
PUSH w_5 PUSH w_6 PUSH 2 PUSH 3 DUP2 GT PUSH w_5,PUSH w_5 PUSH w_6 PUSH 2 PUSH 0 DUP4,w_5 w_6,6,PUSH 0 PUSH 0 PUSH 2 PUSH 3 DUP2 GT PUSH 0,PUSH 0 PUSH 0 PUSH 2 PUSH 0 DUP4,"PUSH(w_5, PUSH(w_6, PUSH(2, PUSH(3, DUP2(GT(PUSH(w_5, P))))))) ->  PUSH(w_5, PUSH(w_6, PUSH(2, PUSH(0, DUP4(P)))))"
PUSH w_0 CALLER SWAP1 POP PUSH w_3 DUP2,CALLER PUSH w_3 CALLER,w_0 w_3,9,PUSH 0 CALLER SWAP1 POP PUSH 12146 DUP2 PUSH 10380,CALLER PUSH 12146 CALLER PUSH 10380,"PUSH(w_0, CALLER(SWAP1(POP(PUSH(w_3, DUP2(P)))))) ->  CALLER(PUSH(w_3, CALLER(P)))"
PUSH w_3 DUP2 AND PUSH w_4 SWAP1 DUP2,PUSH w_4 DUP2 PUSH w_3 AND PUSH w_4,w_3 w_4,3,POP PUSH 4294967295 DUP2 AND PUSH 0 SWAP1 DUP2,POP PUSH 0 DUP2 PUSH 4294967295 AND PUSH 0,"PUSH(w_3, DUP2(AND(PUSH(w_4, SWAP1(DUP2(P)))))) ->  PUSH(w_4, DUP2(PUSH(w_3, AND(PUSH(w_4, P)))))"
PUSH w_1 SWAP4 SWAP1 SWAP4,SWAP3 PUSH w_1,w_1,6,PUSH 32 SWAP4 SWAP1 SWAP4,SWAP3 PUSH 32,"PUSH(w_1, SWAP4(SWAP1(SWAP4(P)))) -> SWAP3(PUSH(w_1, P))"
CALLVALUE PUSH w_2 DUP2 LT,CALLVALUE CALLVALUE PUSH w_2 GT,w_2,1,CALLVALUE PUSH 1000000000 DUP2 LT ISZERO PUSH 708,CALLVALUE CALLVALUE PUSH 1000000000 GT ISZERO PUSH 708,"CALLVALUE(PUSH(w_2, DUP2(LT(P)))) -> CALLVALUE(CALLVALUE(PUSH(w_2, GT(P))))"
CALLVALUE PUSH w_4 DUP1 DUP1 PUSH w_5 DUP5,CALLVALUE PUSH w_4 DUP1 PUSH w_4 PUSH w_5 CALLVALUE,w_4 w_5,1,CALLVALUE PUSH 0 DUP1 DUP1 PUSH 991 DUP5 PUSH 1845,CALLVALUE PUSH 0 DUP1 PUSH 0 PUSH 991 CALLVALUE PUSH 1845,"CALLVALUE(PUSH(w_4, DUP1(DUP1(PUSH(w_5, DUP5(P)))))) ->  CALLVALUE(PUSH(w_4, DUP1(PUSH(w_4, PUSH(w_5, CALLVALUE(P))))))"
PUSH w_1 DUP3 SWAP1,DUP2 PUSH w_1,w_1,3,PUSH 11 DUP3 SWAP1 SSTORE,DUP2 PUSH 11 SSTORE,"PUSH(w_1, DUP3(SWAP1(P))) -> DUP2(PUSH(w_1, P))"
PUSH 1 ISZERO ISZERO PUSH w_4 PUSH w_6 DUP4 DUP2,PUSH 1 PUSH w_4 PUSH w_6 DUP4 PUSH w_6,w_4 w_6,6,DUP2 PUSH 1 ISZERO ISZERO PUSH 8 PUSH 0 DUP4 DUP2,DUP2 PUSH 1 PUSH 8 PUSH 0 DUP4 PUSH 0,"PUSH(1, ISZERO(ISZERO(PUSH(w_4, PUSH(w_6, DUP4(DUP2(P))))))) ->  PUSH(1, PUSH(w_4, PUSH(w_6, DUP4(PUSH(w_6, P)))))"
SWAP2 DUP3 SWAP1,DUP1 SWAP3,,3,PUSH 5 SWAP2 DUP3 SWAP1,PUSH 5 DUP1 SWAP3,SWAP2(DUP3(SWAP1(P))) -> DUP1(SWAP3(P))
PUSH 1 DUP2 MUL PUSH w_2 DUP2 SWAP1 SSTORE POP POP,PUSH w_2 SSTORE,w_2,21,PUSH 1 DUP2 MUL PUSH 20 DUP2 SWAP1 SSTORE POP POP,PUSH 20 SSTORE,"PUSH(1, DUP2(MUL(PUSH(w_2, DUP2(SWAP1(SSTORE(POP(POP(P))))))))) ->  PUSH(w_2, SSTORE(P))"
PUSH w_5 DUP1 PUSH w_3 SWAP2 SWAP1,PUSH w_3 PUSH w_5 PUSH w_5,w_5 w_3,6,PUSH 0 DUP1 PUSH 5441 SWAP2 SWAP1 PUSH 7311,PUSH 5441 PUSH 0 PUSH 0 PUSH 7311,"PUSH(w_5, DUP1(PUSH(w_3, SWAP2(SWAP1(P))))) ->  PUSH(w_3, PUSH(w_5, PUSH(w_5, P)))"
DUP1 PUSH w_2 ADD SWAP1 POP DUP1 POP,PUSH w_2 ADD,w_2,13,DUP1 PUSH 1 ADD SWAP1 POP DUP1 POP PUSH 6298,PUSH 1 ADD PUSH 6298,"DUP1(PUSH(w_2, ADD(SWAP1(POP(DUP1(POP(P))))))) -> PUSH(w_2, ADD(P))"
SWAP2 SWAP1 SWAP2 AND PUSH w_4 SWAP1 DUP2,PUSH w_4 SWAP2 SWAP3 AND PUSH w_4,w_4,6,PUSH 65535 SWAP2 SWAP1 SWAP2 AND PUSH 0 SWAP1 DUP2,PUSH 65535 PUSH 0 SWAP2 SWAP3 AND PUSH 0,"SWAP2(SWAP1(SWAP2(AND(PUSH(w_4, SWAP1(DUP2(P))))))) ->  PUSH(w_4, SWAP2(SWAP3(AND(PUSH(w_4, P)))))"
PUSH w_2 SWAP4 DUP5 SWAP1,PUSH w_2 PUSH w_2 SWAP5,w_2,3,PUSH 1 SWAP4 DUP5 SWAP1,PUSH 1 PUSH 1 SWAP5,"PUSH(w_2, SWAP4(DUP5(SWAP1(P)))) -> PUSH(w_2, PUSH(w_2, SWAP5(P)))"
PUSH w_2 MLOAD CALLVALUE SLT ISZERO ISZERO,CALLVALUE PUSH w_2 MLOAD SGT,w_2,6,PUSH 1472 MLOAD CALLVALUE SLT ISZERO ISZERO PUSH 1751,CALLVALUE PUSH 1472 MLOAD SGT PUSH 1751,"PUSH(w_2, MLOAD(CALLVALUE(SLT(ISZERO(ISZERO(P)))))) ->  CALLVALUE(PUSH(w_2, MLOAD(SGT(P))))"
PUSH w_1 SWAP2 SWAP1 SWAP2,SWAP1 PUSH w_1,w_1,6,PUSH 0 SWAP2 SWAP1 SWAP2,SWAP1 PUSH 0,"PUSH(w_1, SWAP2(SWAP1(SWAP2(P)))) -> SWAP1(PUSH(w_1, P))"
DUP1 SWAP1 POP,,,8,PUSH 0 DUP1 SWAP1 POP,PUSH 0,DUP1(SWAP1(POP(P))) -> P
